Type,"Country Code","Series Code","Description"
Country-Series,"Korea, Rep. (KOR)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Korean Statistical Information Service, United Nations World Population Prospects"
Country-Series,"Kuwait (KWT)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1970-1974 SIPRI estimates."
Country-Series,"Kuwait (KWT)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1970-1974 SIPRI estimates."
Country-Series,"Kuwait (KWT)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Kuwait (KWT)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Kuwait (KWT)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Kuwait (KWT)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Kuwait (KWT)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Lao PDR (LAO)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Lao PDR (LAO)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Lao PDR (LAO)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Lao PDR (LAO)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Lao PDR (LAO)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Lebanon (LBN)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1960-1997, 2005-2007, 2010 & 2013-2018 SIPRI estimates."
Country-Series,"Lebanon (LBN)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1960-1997, 2005-2007, 2010 & 2013-2017 SIPRI estimates."
Country-Series,"Lebanon (LBN)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1990-1997, 2005-2007, 2010 & 2013-2018 SIPRI estimates."
Country-Series,"Lebanon (LBN)","GDP, PPP (current international $) (NY.GDP.MKTP.PP.CD)","Estimates are based on regression."
Country-Series,"Lebanon (LBN)","GDP, PPP (constant 2011 international $) (NY.GDP.MKTP.PP.KD)","Estimates are based on regression."
Country-Series,"Lebanon (LBN)","GDP per capita, PPP (current international $) (NY.GDP.PCAP.PP.CD)","Estimates are based on regression."
Country-Series,"Lebanon (LBN)","GDP per capita, PPP (constant 2011 international $) (NY.GDP.PCAP.PP.KD)","Estimates are based on regression."
Country-Series,"Lebanon (LBN)","PPP conversion factor, private consumption (LCU per international $) (PA.NUS.PRVT.PP)","Estimates are based on regression."
Country-Series,"Lebanon (LBN)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Lebanon (LBN)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Lebanon (LBN)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Lebanon (LBN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Lebanon (LBN)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Liberia (LBR)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Liberia (LBR)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Liberia (LBR)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Liberia (LBR)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Liberia (LBR)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Libya (LBY)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1960-1976 SIPRI estimates."
Country-Series,"Libya (LBY)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1960-1976 SIPRI estimates."
Country-Series,"Libya (LBY)","GDP, PPP (current international $) (NY.GDP.MKTP.PP.CD)","Estimates are based on regression."
Country-Series,"Libya (LBY)","GDP, PPP (constant 2011 international $) (NY.GDP.MKTP.PP.KD)","Estimates are based on regression."
Country-Series,"Libya (LBY)","GDP per capita, PPP (current international $) (NY.GDP.PCAP.PP.CD)","Estimates are based on regression."
Country-Series,"Libya (LBY)","GDP per capita, PPP (constant 2011 international $) (NY.GDP.PCAP.PP.KD)","Estimates are based on regression."
Country-Series,"Libya (LBY)","PPP conversion factor, private consumption (LCU per international $) (PA.NUS.PRVT.PP)","Estimates are based on regression."
Country-Series,"Libya (LBY)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Libya (LBY)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Libya (LBY)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Libya (LBY)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Libya (LBY)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"St. Lucia (LCA)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"St. Lucia (LCA)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"St. Lucia (LCA)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"St. Lucia (LCA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"St. Lucia (LCA)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Liechtenstein (LIE)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat"
Country-Series,"Liechtenstein (LIE)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Liechtenstein (LIE)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat"
Country-Series,"Sri Lanka (LKA)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1960-2003 SIPRI estimates."
Country-Series,"Sri Lanka (LKA)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1960-2003 SIPRI estimates."
Country-Series,"Sri Lanka (LKA)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1990-2003 SIPRI estimates."
Country-Series,"Sri Lanka (LKA)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Sri Lanka (LKA)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Sri Lanka (LKA)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Sri Lanka (LKA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Sri Lanka (LKA)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Lesotho (LSO)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1976-1982 SIPRI estimates."
Country-Series,"Lesotho (LSO)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1976-1982 SIPRI estimates."
Country-Series,"Lesotho (LSO)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1988-1992 SIPRI estimates."
Country-Series,"Lesotho (LSO)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Lesotho (LSO)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Lesotho (LSO)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Lesotho (LSO)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Lesotho (LSO)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Lithuania (LTU)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1993-1995 SIPRI estimates."
Country-Series,"Lithuania (LTU)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1993-1995 SIPRI estimates."
Country-Series,"Lithuania (LTU)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1993-1995 SIPRI estimates."
Country-Series,"Lithuania (LTU)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Lithuania (LTU)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Lithuania (LTU)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat, Statistics Department"
Country-Series,"Lithuania (LTU)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Lithuania (LTU)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat, Statistics Department"
Country-Series,"Luxembourg (LUX)","Military expenditure (current USD) (MS.MIL.XPND.CD)","2008-2018 SIPRI estimates."
Country-Series,"Luxembourg (LUX)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","2008-2018 SIPRI estimates."
Country-Series,"Luxembourg (LUX)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","2008-2018 SIPRI estimates."
Country-Series,"Luxembourg (LUX)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Luxembourg (LUX)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Luxembourg (LUX)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat, United Nations World Population Prospects"
Country-Series,"Luxembourg (LUX)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Luxembourg (LUX)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat, United Nations World Population Prospects"
Country-Series,"Latvia (LVA)","Military expenditure (current USD) (MS.MIL.XPND.CD)","2017 highly uncertain data."
Country-Series,"Latvia (LVA)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","2017 highly uncertain data."
Country-Series,"Latvia (LVA)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","2017-2018 highly uncertain data."
Country-Series,"Latvia (LVA)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Latvia (LVA)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Latvia (LVA)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat, Council of Europe"
Country-Series,"Latvia (LVA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Latvia (LVA)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat, Council of Europe"
Country-Series,"Macao SAR, China (MAC)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Macao SAR, China (MAC)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Macao SAR, China (MAC)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Macao SAR, China (MAC)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Macao SAR, China (MAC)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"St. Martin (French part) (MAF)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: U.S. Census Bureau"
Country-Series,"St. Martin (French part) (MAF)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"St. Martin (French part) (MAF)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: U.S. Census Bureau"
Country-Series,"Morocco (MAR)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1968-1969 SIPRI estimates."
Country-Series,"Morocco (MAR)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1968-1969 SIPRI estimates."
Country-Series,"Morocco (MAR)","GDP per capita (current US$) (NY.GDP.PCAP.CD)","Includes Former Spanish Sahara."
Country-Series,"Morocco (MAR)","GDP per capita (current LCU) (NY.GDP.PCAP.CN)","Includes Former Spanish Sahara."
Country-Series,"Morocco (MAR)","GDP per capita (constant 2010 US$) (NY.GDP.PCAP.KD)","Includes Former Spanish Sahara."
Country-Series,"Morocco (MAR)","GDP per capita growth (annual %) (NY.GDP.PCAP.KD.ZG)","Includes Former Spanish Sahara."
Country-Series,"Morocco (MAR)","GDP per capita (constant LCU) (NY.GDP.PCAP.KN)","Includes Former Spanish Sahara."
Country-Series,"Morocco (MAR)","GDP per capita, PPP (current international $) (NY.GDP.PCAP.PP.CD)","Includes Former Spanish Sahara."
Country-Series,"Morocco (MAR)","GDP per capita, PPP (constant 2011 international $) (NY.GDP.PCAP.PP.KD)","Includes Former Spanish Sahara."
Country-Series,"Morocco (MAR)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Morocco (MAR)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Morocco (MAR)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Morocco (MAR)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Morocco (MAR)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Moldova (MDA)","GDP per capita (current US$) (NY.GDP.PCAP.CD)","Excludes Transnistria."
Country-Series,"Moldova (MDA)","GDP per capita (current LCU) (NY.GDP.PCAP.CN)","Excludes Transnistria."
Country-Series,"Moldova (MDA)","GDP per capita (constant 2010 US$) (NY.GDP.PCAP.KD)","Excludes Transnistria."
Country-Series,"Moldova (MDA)","GDP per capita growth (annual %) (NY.GDP.PCAP.KD.ZG)","Excludes Transnistria."
Country-Series,"Moldova (MDA)","GDP per capita (constant LCU) (NY.GDP.PCAP.KN)","Excludes Transnistria."
Country-Series,"Moldova (MDA)","GDP per capita, PPP (current international $) (NY.GDP.PCAP.PP.CD)","Excludes Transnistria."
Country-Series,"Moldova (MDA)","GDP per capita, PPP (constant 2011 international $) (NY.GDP.PCAP.PP.KD)","Excludes Transnistria."
Country-Series,"Moldova (MDA)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects. Including Transnistria."
Country-Series,"Moldova (MDA)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects. Including Transnistria."
Country-Series,"Moldova (MDA)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source and note: United Nations World Population Prospects. Including Transnistria."
Country-Series,"Moldova (MDA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Moldova (MDA)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source and note: United Nations World Population Prospects. Including Transnistria."
Country-Series,"Madagascar (MDG)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Madagascar (MDG)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Madagascar (MDG)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Madagascar (MDG)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Madagascar (MDG)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Maldives (MDV)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Maldives (MDV)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Maldives (MDV)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Maldives (MDV)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Maldives (MDV)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mexico (MEX)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1960-2003 SIPRI estimates."
Country-Series,"Mexico (MEX)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1960-2003 SIPRI estimates."
Country-Series,"Mexico (MEX)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1990-2003 SIPRI estimates."
Country-Series,"Mexico (MEX)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Mexico (MEX)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Mexico (MEX)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mexico (MEX)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mexico (MEX)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Marshall Islands (MHL)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: World Bank estimate"
Country-Series,"Marshall Islands (MHL)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: World Bank estimate"
Country-Series,"Marshall Islands (MHL)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Economic Policy, Planning and Statistics Office; World Health Report 2001; U.S. Census Bureau"
Country-Series,"Marshall Islands (MHL)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Marshall Islands (MHL)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Economic Policy, Planning and Statistics Office; World Health Report 2001; U.S. Census Bureau"
Country-Series,"North Macedonia (MKD)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"North Macedonia (MKD)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"North Macedonia (MKD)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"North Macedonia (MKD)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"North Macedonia (MKD)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mali (MLI)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1961-1965 & 1993-2004 SIPRI estimates."
Country-Series,"Mali (MLI)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1961-1965 & 1993-2004 SIPRI estimates."
Country-Series,"Mali (MLI)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","2000-2004 SIPRI estimates."
Country-Series,"Mali (MLI)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Mali (MLI)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Mali (MLI)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mali (MLI)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mali (MLI)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Malta (MLT)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Malta (MLT)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Malta (MLT)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat, United Nations World Population Prospects"
Country-Series,"Malta (MLT)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Malta (MLT)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat, United Nations World Population Prospects"
Country-Series,"Myanmar (MMR)","Military expenditure (current USD) (MS.MIL.XPND.CD)","2012-2018 highly uncertain data."
Country-Series,"Myanmar (MMR)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","2012-2018 highly uncertain data."
Country-Series,"Myanmar (MMR)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","2012-2018 highly uncertain data."
Country-Series,"Myanmar (MMR)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Myanmar (MMR)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Myanmar (MMR)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Myanmar (MMR)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Myanmar (MMR)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Montenegro (MNE)","Military expenditure (current USD) (MS.MIL.XPND.CD)","2005-2006 SIPRI estimates."
Country-Series,"Montenegro (MNE)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","2005-2006 SIPRI estimates."
Country-Series,"Montenegro (MNE)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","2005-2006 SIPRI estimates."
Country-Series,"Montenegro (MNE)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Montenegro (MNE)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Montenegro (MNE)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Montenegro (MNE)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Montenegro (MNE)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mongolia (MNG)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Mongolia (MNG)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Mongolia (MNG)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mongolia (MNG)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mongolia (MNG)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mozambique (MOZ)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1977-1998 SIPRI estimates."
Country-Series,"Mozambique (MOZ)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1977-1998 SIPRI estimates."
Country-Series,"Mozambique (MOZ)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1988-1998 SIPRI estimates."
Country-Series,"Mozambique (MOZ)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Mozambique (MOZ)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Mozambique (MOZ)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mozambique (MOZ)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mozambique (MOZ)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mauritania (MRT)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Mauritania (MRT)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Mauritania (MRT)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mauritania (MRT)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mauritania (MRT)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Mauritius (MUS)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects. Including Agalega, Rodrigues and Saint Brandon."
